name,duration_ms,duration_seg,track_id,popularity,artist_name
Dead and Cold,89652,1.49,1A43TfohQt3H6K5zg28ExD,0,SadBoyProlific
Atlantis,229173,3.82,1Fid2jjqsHViMX6xNH70hE,86,Seafret
Home,195358,3.26,2qPSa6HXjzwa9sLhNGpA1T,75,Edith Whiskers
Let You Down,212120,3.54,52okn5MNA47tk87PeZJLEL,82,NF
when the party's over,196077,3.27,43zdsphuZLzwA9k4DJhU0I,87,Billie Eilish
Hate Myself,260253,4.34,5PdEiev2BkKiZtZFcNKjfM,72,NF
listen before i go,242652,4.04,0tMSssfxAL2oV8Vri0mFHE,78,Billie Eilish
Twin Size Mattress,264676,4.41,0Kd1R41kTx9Uzk30yv5PP7,0,The Front Bottoms
I Can't Carry This Anymore,200000,3.33,2vzWylXWogTG11HR0frews,61,Anson Seabra
Touch,256299,4.27,4g2WiijzSKzH8PApKDbadN,70,Sleeping At Last
Unfucktheworld,125440,2.09,0HaDqyNg9LoZZ7Zli1uhzL,0,Angel Olsen
Hold On,198853,3.31,5vjLSffimiIP26QG5WcN2K,81,Chord Overstreet
Liability,171727,2.86,6Kkt27YmFyIFrcX3QXFi2o,74,Lorde
Train Wreck,208826,3.48,55Am8neGJkdj2ADaM3aw5H,82,James Arthur
Jealous,287693,4.79,4G92yYrUs0cvY7G41YRI0z,76,Labrinth
Lua,271666,4.53,4PMvRfhHAx5j6Bb3XsFLoq,0,Bright Eyes
July,156106,2.6,6J2LdBN97cDWn0MLxYh9HB,84,Noah Cyrus
I Found,273000,4.55,5zT5cMnMKoyruPj13TQXGx,76,Amber Run
Heal,193080,3.22,4KlL5Bwlm4yHYxr0B2rHci,76,Tom Odell
Trying My Best,222467,3.71,6hjh2phISvfR1Ib6S0FK7b,65,Anson Seabra
Turning Page,218451,3.64,2QFyOnJfJ49OnNgMvKXvTM,62,Sydney Rose
Angel,311152,5.19,7iSEz0IIVF5H4KLXIm99Vk,0,FINNEAS
Feeling Whitney,257265,4.29,35r28RDot7nPE7y9K9H7l0,75,Post Malone
I Lost a Friend,237020,3.95,7yfGRLpyVn2qiyU9FR86Ww,0,FINNEAS
tear myself apart,168546,2.81,57m2Kve0xnAgYVAPxMLKHS,44,Tate McRae
Waves,240013,4.0,6w8pFOKn42O418qwcQElZ3,77,Dean Lewis
Six Feet Under,189613,3.16,2VlLbhGLVJgdOW7kKdWWFc,75,Billie Eilish
Bruises,220492,3.67,4Of7rzpRpV1mWRbhp5rAqG,83,Lewis Capaldi
All I Want,305746,5.1,0NlGoUyOJSuSHmngoibVAs,83,Kodaline
everything i wanted,245425,4.09,3ZCTVFBt2Brf31RLEnCkWJ,85,Billie Eilish
i love you,291796,4.86,6CcJMwBtXByIz4zQLzFkKc,82,Billie Eilish
you were good to me,219146,3.65,4CxFN5zON70B3VOPBYbd6P,75,Jeremy Zucker
Where's My Love - Acoustic,239880,4.0,1eKvw144NYPlDjR0wQoGLW,0,SYML
IDK You Yet,184638,3.08,0j1Ia2lQWrcXrQZI4AdJlk,77,Alexander 23
Too Sad To Cry,208986,3.48,3CRtbOoAP82y0VbPO5j1ft,60,Sasha Alex Sloan
Let Me Go,277777,4.63,2PqSOrlabozEH6KXs7BvQr,61,NF
Water Fountain,218893,3.65,4IhKLu7Vk3j2TLmnFPl6To,77,Alec Benjamin
Paralyzed,270453,4.51,5DHQKZCOZhGNTbYBCekWx0,72,NF
all the kids are depressed,169973,2.83,75ls0gurX68lUmMjE7QcsE,72,Jeremy Zucker
If the World Was Ending (feat. Julia Michaels),208687,3.48,2kJwzbxV2ppxnQoYw4GLBZ,79,JP Saxe
Heal,195240,3.25,1xVF9wZZ87uAz0bw6jT4sH,40,Tom Odell
Blood Bank,285160,4.75,7qUoDTmVj07qUf6ZBDhWKl,0,Bon Iver
You're Somebody Else,219013,3.65,6iWEhoALoBFnQMNVhYY0Sc,71,flora cash
The Story,245266,4.09,5GVPVxgdgTKJFxSxLVIw1A,65,Conan Gray
Nightmare,231998,3.87,340UVheS8z3ncW9TTUhAbc,66,Halsey
Turning Page,255893,4.26,2kfGoV9a5dbSKCNmUWH2ZF,72,Sleeping At Last
Life is Beautiful,207586,3.46,5rYpwP1dHWGVMrSZbTmt3e,72,Lil Peep
Trauma,247240,4.12,0cHAXbQfTlBIJrzIOW8kUv,63,NF
Bleed Out,206301,3.44,6Q9rogwuZ8rQNMYUYFCx2I,46,Isak Danielson
I Miss The Days,269184,4.49,3ebfDw8WEbf0DxGh47R2lo,68,NF
Save Me,163201,2.72,2UwbhMie1EAYuTZ0QXeMwl,72,XXXTENTACION
Long Sleeves,218440,3.64,3wIRxCIGmdxld4ZC6yShZ9,61,Gracie Abrams
Change,234074,3.9,4cBlIM5AjnQ74f52Dv7T5K,68,NF
